platform,run_id,condition,direction,requests,successful_requests,failed_requests,hvc_attempts,retries,busy_returns,again_returns,other_errors,first_try_success_rate,p50_us,p99_us,p999_us,max_us,completion_p99_us,completion_max_us
RK3588,run-001,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,279.416,282.916,285.541,307.125,282.916,307.125
RK3588,run-001,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.791,54.541,42.875,54.541
RK3588,run-002,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,279.416,282.625,284.375,316.75,282.625,316.75
RK3588,run-002,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.791,54.541,42.875,54.541
RK3588,run-003,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,279.125,282.625,283.79129200000114,294.875,282.625,294.875
RK3588,run-003,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,54.833,42.875,54.833
RK3588,run-004,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,278.25,281.75,283.5,292.25,281.75,292.25
RK3588,run-004,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,44.041,58.041,42.875,58.041
RK3588,run-005,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,278.25,281.75,283.5,296.041,281.75,296.041
RK3588,run-005,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,53.083,42.875,53.083
RK3588,run-006,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.916,297.5,281.166,297.5
RK3588,run-006,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,52.5,42.875,52.5
RK3588,run-007,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.916,311.208,281.166,311.208
RK3588,run-007,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.791,55.708,42.875,55.708
RK3588,run-008,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,283.208,295.166,281.166,295.166
RK3588,run-008,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.916,42.875,51.916
RK3588,run-009,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.625,293.708,281.166,293.708
RK3588,run-009,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,43.166,45.791,52.5,43.166,52.5
RK3588,run-010,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,284.083,305.083,281.166,305.083
RK3588,run-010,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.791,51.916,42.875,51.916
RK3588,run-011,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.333,290.791,281.166,290.791
RK3588,run-011,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.916,42.875,51.916
RK3588,run-012,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.916,303.041,281.166,303.041
RK3588,run-012,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,43.166,45.791,52.5,43.166,52.5
RK3588,run-013,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,281.166,282.62529100000114,331.333,281.166,331.333
RK3588,run-013,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.916,42.875,51.916
RK3588,run-014,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.666,280.875,282.625,294.875,280.875,294.875
RK3588,run-014,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.916,42.875,51.916
RK3588,run-015,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.333,296.041,280.583,296.041
RK3588,run-015,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,47.25,42.875,47.25
RK3588,run-016,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.875,282.041,296.625,280.875,296.625
RK3588,run-016,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.916,42.875,51.916
RK3588,run-017,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,281.75,296.333,280.583,296.333
RK3588,run-017,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,51.041,42.875,51.041
RK3588,run-018,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.625,303.333,280.583,303.333
RK3588,run-018,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,52.791,42.875,52.791
RK3588,run-019,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.875,282.916,299.25,280.875,299.25
RK3588,run-019,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,43.166,45.5,51.916,43.166,51.916
RK3588,run-020,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.041,315.291,280.583,315.291
RK3588,run-020,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.5,52.5,42.875,52.5
RK3588,run-021,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,283.208,295.458,280.583,295.458
RK3588,run-021,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.5,56.875,42.875,56.875
RK3588,run-022,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.3332920000011,306.541,280.583,306.541
RK3588,run-022,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,52.208,42.875,52.208
RK3588,run-023,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,283.208,306.833,280.583,306.833
RK3588,run-023,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,45.791,56.875,42.875,56.875
RK3588,run-024,idle,DYN-to-RTO,100000,100000,0,100000,0,0,0,0,1.0,277.375,280.583,282.3332920000011,315.583,280.583,315.583
RK3588,run-024,idle,RTO-to-DYN,100000,100000,0,100000,0,0,0,0,1.0,38.791,42.875,43.458,55.416,42.875,55.416
