schema_version,run_id,condition,iteration,direction,attempt,rc,counter_cycles,duration_ns,request_elapsed_ns
1,run-004,idle,0,DYN-to-RTO,0,0,6867,286125,286125
1,run-004,idle,0,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,1,DYN-to-RTO,0,0,6706,279416,279416
1,run-004,idle,1,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,2,DYN-to-RTO,0,0,6944,289333,289333
1,run-004,idle,2,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,3,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,3,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,4,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,4,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,5,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,5,RTO-to-DYN,0,0,1050,43750,43750
1,run-004,idle,6,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,6,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,7,DYN-to-RTO,0,0,6664,277666,277958
1,run-004,idle,7,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,8,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,8,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,9,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,9,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,10,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,10,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,11,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,11,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,12,DYN-to-RTO,0,0,6734,280583,280583
1,run-004,idle,12,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,13,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,13,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,14,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,14,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,15,DYN-to-RTO,0,0,6832,284666,284666
1,run-004,idle,15,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,16,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,16,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,17,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,17,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,18,DYN-to-RTO,0,0,6818,284083,284083
1,run-004,idle,18,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,19,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,19,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,20,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,20,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,21,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,21,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,22,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,22,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,23,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,23,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,24,DYN-to-RTO,0,0,6734,280583,280583
1,run-004,idle,24,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,25,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,25,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,26,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,26,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,27,DYN-to-RTO,0,0,6825,284375,284375
1,run-004,idle,27,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,28,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,28,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,29,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,29,RTO-to-DYN,0,0,1036,43166,43166
1,run-004,idle,30,DYN-to-RTO,0,0,6846,285250,285250
1,run-004,idle,30,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,31,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,31,RTO-to-DYN,0,0,1015,42291,42291
1,run-004,idle,32,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,32,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,33,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,33,RTO-to-DYN,0,0,1036,43166,43166
1,run-004,idle,34,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,34,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,35,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,35,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,36,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,36,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,37,DYN-to-RTO,0,0,6727,280291,280583
1,run-004,idle,37,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,38,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,38,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,39,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,39,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,40,DYN-to-RTO,0,0,6818,284083,284375
1,run-004,idle,40,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,41,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,41,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,42,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,42,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,43,DYN-to-RTO,0,0,6846,285250,285250
1,run-004,idle,43,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,44,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,44,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,45,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,45,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,46,DYN-to-RTO,0,0,6769,282041,282041
1,run-004,idle,46,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,47,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,47,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,48,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,48,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,49,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,49,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,50,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,50,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,51,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,51,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,52,DYN-to-RTO,0,0,6825,284375,284375
1,run-004,idle,52,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,53,DYN-to-RTO,0,0,6685,278541,278833
1,run-004,idle,53,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,54,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,54,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,55,DYN-to-RTO,0,0,6769,282041,282041
1,run-004,idle,55,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,56,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,56,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,57,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,57,RTO-to-DYN,0,0,924,38500,38791
1,run-004,idle,58,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,58,RTO-to-DYN,0,0,1120,46666,46958
1,run-004,idle,59,DYN-to-RTO,0,0,6692,278833,278833
1,run-004,idle,59,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,60,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,60,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,61,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,61,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,62,DYN-to-RTO,0,0,6832,284666,284666
1,run-004,idle,62,RTO-to-DYN,0,0,1029,42875,42875
1,run-004,idle,63,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,63,RTO-to-DYN,0,0,931,38791,38791
